Source Url,Target Url,Redirect Code,Redirect Ok,Redirect Chain
https://safety.honeywell.com/en-us/products/by-category/electrical-safety/dielectric-boots/non-buckle-overshoe,https://prod-author.honeywell.com,200,no,No redirects found
https://safety.honeywell.com/en-us/products/by-category/electrical-safety/arc-flash-ppe/arc-flash-protection-bib-overalls-acb10030tw,https://prod-author.honeywell.com,301,no,301::https://safety.honeywell.com/en-us/products/by-category/electrical-safety/arc-flash-ppe
https://safety.honeywell.com/en-us/products/by-category/electrical-safety/arc-flash-ppe/north-zone-hard-hats,https://prod-author.honeywell.com,200,no,No redirects found
https://safety.honeywell.com/en-us/products/by-category/electrical-safety/arc-flash-ppe/arc-flash-protection-bib-overalls-acb2030bl,https://prod-author.honeywell.com,301,no,301::https://safety.honeywell.com/en-us/products/by-category/electrical-safety/arc-flash-ppe
https://safety.honeywell.com/en-us/products/by-category/electrical-safety/arc-flash-ppe/outside-maintenance-box,https://prod-author.honeywell.com,200,no,No redirects found
https://safety.honeywell.com/en-us/products/by-category/electrical-safety/arc-flash-ppe/arc-flash-protection-bib-overalls-acb3130rb,https://prod-author.honeywell.com,301,no,301::https://safety.honeywell.com/en-us/products/by-category/electrical-safety/arc-flash-ppe
https://safety.honeywell.com/en-us/products/by-category/electrical-safety/arc-flash-ppe/premium-light-weight-hrc-4-pro-wear,https://prod-author.honeywell.com,200,no,No redirects found
https://safety.honeywell.com/en-us/products/by-category/electrical-safety/arc-flash-ppe/arc-flash-protection-bib-overalls-acb4030plt,https://prod-author.honeywell.com,301,no,301::https://safety.honeywell.com/en-us/products/by-category/electrical-safety/arc-flash-ppe
https://safety.honeywell.com/en-us/products/by-category/electrical-safety/arc-flash-ppe/prismshield-arc-flash-head-face-protection,https://prod-author.honeywell.com,404,no,No redirects found
https://safety.honeywell.com/en-us/products/by-category/electrical-safety/arc-flash-ppe/arc-flash-protection-bib-overalls-acb830bl,https://prod-author.honeywell.com,301,no,301::https://safety.honeywell.com/en-us/products/by-category/electrical-safety/arc-flash-ppe
https://safety.honeywell.com/en-us/products/by-category/electrical-safety/arc-flash-ppe/pro-hood-arc-flash-protection-hoods,https://prod-author.honeywell.com,200,no,No redirects found
https://safety.honeywell.com/en-us/products/by-category/electrical-safety/arc-flash-ppe/arc-flash-protection-overpants,https://prod-author.honeywell.com,200,no,No redirects found
https://safety.honeywell.com/en-us/products/by-category/electrical-safety/arc-flash-ppe/pro-hood-arc-flash-protection-hoods-fh31rb,https://prod-author.honeywell.com,301,no,301::https://safety.honeywell.com/en-us/products/by-category/electrical-safety/arc-flash-ppe
https://safety.honeywell.com/en-us/products/by-category/electrical-safety/arc-flash-ppe/arc-flash-protection-premium-coverall-kits,https://prod-author.honeywell.com,200,no,No redirects found
https://safety.honeywell.com/en-us/products/by-category/electrical-safety/arc-flash-ppe/pro-hood-arc-flash-protection-hoods-fh40gy,https://prod-author.honeywell.com,301,no,301::https://safety.honeywell.com/en-us/products/by-category/electrical-safety/arc-flash-ppe
https://safety.honeywell.com/en-us/products/by-category/electrical-safety/arc-flash-ppe/as-bag,https://prod-author.honeywell.com,200,no,No redirects found
https://safety.honeywell.com/en-us/products/by-category/electrical-safety/arc-flash-ppe/pro-hood-arc-flash-protection-hoods-fh40plt,https://prod-author.honeywell.com,301,no,301::https://safety.honeywell.com/en-us/products/by-category/electrical-safety/arc-flash-ppe
https://safety.honeywell.com/en-us/products/by-category/electrical-safety/arc-flash-ppe/as1000hat-and-as1200hat-afhood-kits,https://prod-author.honeywell.com,301,no,301::https://safety.honeywell.com/en-us/products/by-category/electrical-safety/arc-flash-ppe
https://safety.honeywell.com/en-us/products/by-category/electrical-safety/arc-flash-ppe/pro-wear-arc-flash-protection-coats,https://prod-author.honeywell.com,200,no,No redirects found
