Source Url,Target Url,Redirect Code,Redirect Ok,Redirect Chain
https://safety.honeywell.com/en-us/products/by-category/electrical-safety/arc-flash-ppe/pro-wear-personal-protection-equipment-kits-100-cal-cm2,https://safety.honeywell.com,200,no,No redirects found
https://safety.honeywell.com/en-us/products/by-category/electrical-safety/arc-flash-ppe/face-shield-as1200ppc,https://safety.honeywell.com,301,no,301::https://safety.honeywell.com/en-us/products/by-category/electrical-safety/arc-flash-ppe
https://safety.honeywell.com/en-us/products/by-category/electrical-safety/grounding-equipment/dual-purpose-clamps,https://safety.honeywell.com,200,no,No redirects found
https://safety.honeywell.com/en-us/products/by-category/electrical-safety/arc-flash-ppe/basic-electrician-roll,https://safety.honeywell.com,200,no,No redirects found
https://safety.honeywell.com/en-us/products/by-category/electrical-safety/arc-flash-ppe/telecommunication-tool-box,https://safety.honeywell.com,200,no,No redirects found
https://safety.honeywell.com/en-us/products/by-category/electrical-safety/grounding-equipment/2-aluminum-c-type-smooth-jaw,https://safety.honeywell.com,200,no,No redirects found
https://safety.honeywell.com/en-us/products/by-category/electrical-safety/arc-flash-ppe/fire-resistant-beardnet-bn1,https://safety.honeywell.com,301,no,301::https://safety.honeywell.com/en-us/products/by-category/electrical-safety/arc-flash-ppe
https://safety.honeywell.com/en-us/products/by-category/electrical-safety/arc-flash-ppe/pro-hood-arc-flash-protection-hoods,https://safety.honeywell.com,200,no,No redirects found
https://safety.honeywell.com/en-us/products/by-category/electrical-safety/grounding-equipment/cable-penetrating-ground-clamp,https://safety.honeywell.com,200,no,No redirects found
https://safety.honeywell.com/en-us/products/by-category/electrical-safety/arc-flash-ppe/pro-wear-personal-protection-equipment-kits-31-cal-cm2,https://safety.honeywell.com,200,no,No redirects found
https://safety.honeywell.com/en-us/products/by-category/electrical-safety/arc-flash-ppe/heavy-duty-tool-bag-and-storage-bag,https://safety.honeywell.com,200,no,No redirects found
https://safety.honeywell.com/en-us/products/by-category/electrical-safety/grounding-equipment/ground-adapter-device-kit,https://safety.honeywell.com,200,no,No redirects found
https://safety.honeywell.com/en-us/products/by-category/electrical-safety/arc-flash-ppe/fire-resistant-hairnet-hn-1,https://safety.honeywell.com,301,no,301::https://safety.honeywell.com/en-us/products/by-category/electrical-safety/arc-flash-ppe
https://safety.honeywell.com/en-us/products/by-category/electrical-safety/arc-flash-ppe/as-bag,https://safety.honeywell.com,200,no,No redirects found
https://safety.honeywell.com/en-us/products/by-category/electrical-safety/grounding-equipment/4-5-aluminum-substation-bus-clamps,https://safety.honeywell.com,200,no,No redirects found
https://safety.honeywell.com/en-us/products/by-category/electrical-safety/arc-flash-ppe/arc-flash-protection-premium-coverall-kits,https://safety.honeywell.com,200,no,No redirects found
https://safety.honeywell.com/en-us/products/by-category/electrical-safety/arc-flash-ppe/flame-resistant-attachable-task-light-asfl,https://safety.honeywell.com,301,no,301::https://safety.honeywell.com/en-us/products/by-category/electrical-safety/arc-flash-ppe
https://safety.honeywell.com/en-us/products/by-category/electrical-safety/grounding-equipment/bronze-cutout-clamps-with-contact-stud,https://safety.honeywell.com,200,no,No redirects found
